trackname,tracktype,importance,currentcon,lastcut,nextcut,importance,lastcheck,history,custodian,track_geometry
Croesus Peak,,Medium,,,,Medium,1.54647E+12,,,"MULTILINESTRING((19076722.434499986 -5204934.076741332,19076661.138599984 -5204918.370341341,19076638.270399995 -5204892.036041328,19076686.230099987 -5204860.057641342,19076637.135299988 -5204840.225641329,19076586.52539998 -5204852.046641332))"
Polluck Creek Hut to Truran Pass,Route,2,Tracked sections getting very overgrown. Creek section easy travel,,,2,1.26494E+12,,,"MULTILINESTRING((19015798.844399903 -5321627.653243403,19016160.80769991 -5321459.922943405,19019378.05199991 -5319097.034043359))"
Mt Elliot tops track on TL of Safety Camp Creek,Route,2,Good. Starts at Safety Camp Creek bridge,,,2,1.7067E+12,,Ben Aynsley,"MULTILINESTRING((19124949.876399998 -5231804.517841809,19124996.873299997 -5231797.677341815,19125050.306599993 -5231806.732441818,19125122.664300002 -5231808.241541819,19125177.210800007 -5231782.585641813,19125250.6817 -5231746.365641811,19125467.754699994 -5231749.383941824,19125538.9992 -5231750.893141808,19125592.432499997 -5231769.003141821,19125744.940300003 -5231824.842541814,19125826.203500003 -5231818.8058418175,19125899.6743 -5231818.805841825,19125962.0133 -5231827.860841815,19126015.446599994 -5231847.48024182,19126069.993199997 -5231867.09954181,19126133.44529999 -5231867.099541816,19126204.6897 -5231877.663841817,19126278.160599995 -5231879.173041816,19126332.70719999 -5231870.117941813,19126395.046099998 -5231861.062841816,19126454.045399997 -5231871.627141817,19126526.403100003 -5231855.026141816,19126634.383 -5231820.314941814,19126780.21149999 -5231821.824141814,19126843.66359999 -5231787.113141816,19126898.21019999 -5231761.457241815,19126979.47339999 -5231762.96644182,19127060.736599993 -5231762.966441811,19127133.094300006 -5231755.420641823,19127224.376299996 -5231729.764841816,19127285.602 -5231738.819841807,19127339.035400007 -5231785.60394181,19127412.5062 -5231823.33334182,19127455.920800004 -5231858.044441819,19127492.656300005 -5231904.829241826,19127544.9764 -5231968.215441819,19127598.409800004 -5232024.056041827,19127632.91879999 -5232078.387741831,19127678.55979999 -5232134.228941824,19127723.087599993 -5232170.450441824,19127739.785499997 -5232226.292241823,19127784.31329999 -5232334.958241822,19127828.8411 -5232380.236141828,19127864.46339999 -5232434.569941829,19127890.066800006 -5232490.413241822,19127906.764799997 -5232544.747641821,19127961.311300006 -5232571.914941825,19128023.650200006 -5232636.814941835,19128058.159299992 -5232692.659441831,19128067.06480001 -5232746.994941843,19128093.781499993 -5232801.330841834,19128156.120400004 -5232866.232441834,19128553.058500003 -5233314.496841843))"
Upper Trent to Mid Trent Route?,,2,,,,2,,,,"MULTILINESTRING((19128320.3667 -5266355.178342434,19128327.265600003 -5266331.579142434,19128323.115399994 -5266302.454242433,19128374.045 -5266269.52554243,19128458.231299996 -5266243.45214243,19128471.4508 -5266117.5211424325,19128579.455399994 -5266067.1119424235,19128661.200999994 -5266092.89784243,19129081.246999994 -5266103.889142424,19129189.71239999 -5265919.753942422,19130089.316500004 -5265889.4910424175,19130922.45489999 -5266525.66204243,19132019.0573 -5266813.320942439,19134245.820299998 -5266862.890942447,19135174.5366 -5264841.689242405))"
Mt Watson Track,,3,Good,1.42011E+12,,3,,,,"MULTILINESTRING((19079870.285440445 -5211380.673461928,19079554.905933835 -5211132.044330832,19079532.200290136 -5211052.248811236,19079452.39456918 -5211005.385080033,19079370.123056885 -5211003.825239858,19079256.103465874 -5211059.971130629,19079060.329260424 -5211087.028282546,19078878.369682718 -5211151.597424868,19078552.81223614 -5211129.203754032,19078460.248177182 -5211159.834037985,19078418.478289448 -5211235.164513528,19078344.516404483 -5211220.796318939,19078212.55907889 -5211286.3070682585,19078141.271111723 -5211301.1434307145,19078047.73577315 -5211297.737168044,19078000.43061908 -5211324.368810707,19077857.638131034 -5211365.371997173,19077785.54950912 -5211422.304026901,19077691.336272538 -5211454.515885093,19077472.553139266 -5211417.929998898,19077353.708967406 -5211472.343012153,19077231.92375982 -5211596.348873667,19077105.812346574 -5211608.505738809,19076945.97680348 -5211611.913786133,19076811.700461857 -5211544.540445948,19076721.323485445 -5211460.19327906,19076606.00708625 -5211414.23974557,19076409.628638003 -5211387.779299006,19076237.635908406 -5211436.293971341,19076013.214148298 -5211357.452079753,19075717.509167485 -5211209.197899644))"
Dunns Hut via TL of Dunns Creek,Route,3,Partially trimmed 2023. Fine to follow on the other bits but needs finishing off.,1.42002E+12,,3,1.67248E+12,,Andrew Buglass/ Offers?,"MULTILINESTRING((19086926.01129999 -5285427.624842773,19086828.73749999 -5285435.666842771,19086815.05499999 -5285430.45884277,19086529.552799985 -5285321.78364276,19086280.314299997 -5285298.42834277,19085928.73349999 -5285579.2545427745,19085803.466799982 -5285758.14464278,19085654.792099986 -5285882.732242775,19085639.798699994 -5286168.142842787,19085275.084299993 -5286275.676242787,19084924.74979998 -5286220.208442775,19084664.397999987 -5286401.486442789,19084606.822399992 -5286700.813342787,19084457.1551 -5286701.296042786,19084363.438699987 -5286755.061442787,19084321.158200003 -5286754.274742793,19084277.70419999 -5286728.976242791,19084222.776699994 -5286708.362042789,19084118.219199985 -5286732.536142798,19084035.103599988 -5286740.782442791,19083950.542899992 -5286739.20544279,19083823.339199986 -5286756.423342788,19083743.051799987 -5286787.576842792,19083651.047599986 -5286836.469642788,19083538.378199995 -5286870.180942787,19083416.214099992 -5286870.776442791,19083390.920699995 -5286855.523742797,19083352.484899994 -5286838.469242793))"
Miserable Ridge track from Explorer Hut,Route,3,Good to 1122m. Roughly cut but not marked from 1177m to 1340m,,,3,1.6095E+12,,Penny Webster?,"MULTILINESTRING((19028358.006899934 -5312522.777643246,19028372.56629993 -5312732.446243254,19028391.23329993 -5312836.04374326,19028450.62349993 -5312908.72364325,19028606.608499937 -5313033.718643248,19028775.010599934 -5313118.089943257,19028893.52149994 -5313141.473943251,19029115.07019994 -5313087.171943252,19029313.72549994 -5313101.880743255,19029496.608799938 -5313194.781343255,19029639.07179994 -5313339.895543252,19029786.982599948 -5313562.911543269,19029908.702999935 -5313588.818343259,19030099.414699934 -5313729.384243273,19031165.436699938 -5313429.633043269,19032466.990799937 -5313981.929643274,19032654.799299937 -5313770.3602432655))"
Mungo River Route (Mungo Hut valley access from Poet Hut),Route,3,Tracked section to Saddle Creek good / Short bush bash at a washout just above Saddle Creek/ TR detours opposite Brunswick Creek good.,,,3,1.58055E+12,,,"MULTILINESTRING((19053368.162199963 -5317109.292543327,19053408.07889998 -5317139.382643321,19053503.622799966 -5317156.166843325,19053571.624099974 -5317139.294643318,19053621.995799977 -5317116.410343323,19053742.177499976 -5317081.354743323,19053766.96149996 -5317066.406943325,19053780.51989997 -5317064.923543326,19053801.46389997 -5317056.883843319,19053855.893099967 -5317054.519543325,19053896.40229997 -5317038.958343331,19054063.072799973 -5316964.747243317,19054175.39209997 -5316895.507543321,19054218.340499967 -5317043.036543326,19054249.52439997 -5317078.964143326,19054355.89179997 -5317095.054943331,19054517.290099967 -5317160.864243329,19054664.209399976 -5317179.658643329,19054842.980299972 -5317160.237643333,19054997.65059998 -5317179.196943321,19055183.662999973 -5317183.275643323,19055376.748299967 -5317218.634743319,19055508.67669997 -5317213.740143329,19055631.50149998 -5317270.903943333,19055771.012299977 -5317273.953743325,19055873.797799964 -5317182.8100433275,19056029.145899974 -5317170.6371433195,19056125.86459998 -5317001.536343319,19056221.06159997 -5316902.443843329,19056400.16119997 -5316867.436443323,19056508.328299977 -5316885.356343323,19056640.08319997 -5316888.224143324,19056789.189299975 -5316805.86394332,19056844.785899967 -5316744.816443329,19056814.625799976 -5316705.250643319,19056955.809399977 -5316630.499143323,19057027.91159997 -5316523.118643318,19057129.168299973 -5316396.680043318,19057129.345999975 -5316312.496843309,19057153.34139997 -5316289.434543311,19057219.172099974 -5316239.583443308,19057261.286399975 -5316212.526343305,19057276.774399977 -5316197.506243313,19057299.740499973 -5316158.790743314,19057322.16549998 -5316138.8480433095,19057418.969299976 -5316084.320643302,19057617.04339997 -5315970.990443301))"
Healey Creek Hut track,Route,3,Good. Cut up to the sub alpine by Tom Hayes.,1.73591E+12,,3,1.73595E+12,,,"MULTILINESTRING((19021694.85399992 -5315536.350743296,19023301.13399993 -5315811.8489433,19023269.46459992 -5316033.767543313,19023326.511999924 -5316231.727743307,19023339.45719992 -5316366.345643315,19023467.427599918 -5316729.877343319,19023556.920899928 -5317066.245943334,19023631.379499923 -5317155.882943328,19023843.496799927 -5317183.779443335,19023992.75529992 -5317310.549043338,19024179.17349993 -5317417.750243332,19024454.831599932 -5317583.021243338,19024465.782299932 -5317606.35024334,19024465.752199918 -5317642.511743335,19024482.95949993 -5317711.231743346,19024502.423999928 -5317745.945043343,19024519.800899923 -5317835.892143346,19024533.12599992 -5317852.213343345,19024527.66049993 -5317856.624043338,19024528.002399936 -5317873.204943334,19024535.19609992 -5317894.488743342,19024550.726099927 -5317899.831443334,19024550.253499925 -5317944.610043343,19024644.041899923 -5318287.559343355,19024681.440099932 -5318292.822743343,19024712.346899927 -5318309.034443346,19024720.076999925 -5318318.462543345,19024736.316099923 -5318361.181643348,19024747.45339993 -5318393.711743346,19024744.420099933 -5318408.114643357,19024748.750299927 -5318413.315243353,19024767.319399923 -5318428.666143346,19024762.79719994 -5318434.964243348,19024768.104899924 -5318441.552343354,19024783.06469993 -5318436.090143349,19024785.552299924 -5318440.976443346,19024790.842999928 -5318443.5900433455,19024793.241399936 -5318452.057443347,19024806.74639992 -5318477.755943356,19024818.264799923 -5318500.510343352,19024817.441399932 -5318509.337643344,19024821.486699928 -5318514.511543354,19024828.77119993 -5318541.845943358,19024828.620399926 -5318564.445543355,19024831.151299927 -5318571.250043344,19024833.207999922 -5318589.7828433495,19024828.73509993 -5318602.206143348,19024829.56779992 -5318620.151243347,19024837.502699926 -5318636.191743348,19024835.345899932 -5318642.889743363,19024838.521699924 -5318681.441943359,19024835.66429993 -5318710.012643353,19024855.03479993 -5318733.541643356,19024867.34969993 -5318796.687243355,19024864.55579992 -5318806.30224335,19024887.564099927 -5318833.585943358,19024900.22689992 -5318836.556343363,19024909.352799926 -5318852.050243351,19024921.843999922 -5318851.179543359,19024925.956599932 -5318847.091243358,19024974.79369993 -5318849.280443352,19025038.795799922 -5318821.649243357,19025081.886899933 -5318869.4302433515,19025082.413499936 -5318877.923443354,19025096.118199926 -5318895.60464335,19025114.89659993 -5318912.015943354,19025137.798199918 -5318919.910043355,19025154.770199925 -5318940.486043361,19025176.78599992 -5318955.371943366,19025216.890999928 -5318955.273743364,19025237.269099932 -5318947.651943353,19025250.89699992 -5318990.583243361,19025249.57889994 -5319049.129143362,19025249.806599922 -5319073.117943363,19025258.666599922 -5319104.817543364,19025254.71369992 -5319146.4306433555,19025714.220799923 -5319618.304343377,19025727.18549993 -5319621.660843364,19025731.606199928 -5319615.97944337))"
Inframeta Tops from Frews Hut Track,Route,2,Probably needs marking and a decent trim by now,,,2,,,,"MULTILINESTRING((19040957.84896408 -5319235.216072765,19041091.79002256 -5319197.109802708,19041293.80584396 -5319196.497749273,19041572.856088825 -5319111.6693281485,19041678.918961942 -5319113.319176573,19041906.62554071 -5319184.14396646,19042090.94289891 -5319190.065402144,19042244.75326198 -5319173.978384431,19042460.32189743 -5319098.707570942,19042633.55706636 -5319089.617504325,19042686.290556304 -5319067.904505079,19042897.085923307 -5319058.0412635375,19042992.649921287 -5319019.297626622,19043077.409694776 -5319024.5341042755,19043273.9547198 -5318924.233302453,19043714.069796313 -5318166.120132983,19043537.96347507 -5317588.764577312))"
